#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_3	706929	45	N	N	1	none	*	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,481,483
contig_4	301608	46	N	N	1	none	*	4,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464
contig_5	230545	23	N	N	1	none	*	-739,5,-739
contig_6	3120762	23	N	N	1	none	*	739,6,739
contig_8	418034	47	N	N	1	none	*	7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,49,49,49,49,49,49,49,49,49,49,-50,-49,-49,-49,-49,-49,-49,-49,-49,-49,51,52,53,54,55,56,52,58
contig_19	80308	50	N	N	1	none	*	7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,19,471,473,472,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471
contig_20	31292	31	N	N	1	none	*	-644,-815,-643,-18,7,20,797,527,612
contig_21	130024	44	N	N	1	none	*	-644,-815,-643,-18,21
contig_26	209667	46	N	N	1	none	*	-742,25,22,23,24,29,743,-35,-29,-24,-23,-22,-25,28,-408,26,387,389
contig_27	169652	48	N	N	1	none	*	27,407
contig_37	58403	45	N	N	1	none	*	-389,-387,-385,-383,-744,30,31,31,32,37,-382,-380,-379
contig_38	97738	43	N	N	1	none	*	672,-42,30,31,32,29,38,64,64,78,79,64,64,64,-167,-64,-64,-64,-63,-62,-61,77,-60,-96,60,-77,61,118,118,118,64,64,64,-64,-64,-64,-64,-79,-78,-64,-64
contig_41	458529	47	N	N	1	none	*	63,64,64,150,85,84,199,85,41,285,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284
contig_43	65437	48	N	N	1	none	*	43,-380,-379,381,-28
contig_44	362886	45	N	N	1	none	*	44,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339
contig_47	37244	48	N	N	1	none	*	740,741,745,47,747,750,65,750,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
contig_48	26874	40	N	N	1	none	*	-746,48,-529,799,530,-538,-531,800
contig_59	21388	47	N	N	1	none	*	-52,-57,-56,-55,-54,-53,-52,59,60,61,118,118,118,118
contig_81	269069	45	N	N	1	none	*	64,64,64,78,79,64,64,64,64,78,79,64,64,64,64,78,79,80,64,64,64,64,81,737
contig_90	354992	44	N	N	1	none	*	349,348,349,348,349,348,349,348,349,348,349,90,72,186,68,751,72,186,68,751,72,186,68
contig_91	465569	47	N	N	1	none	*	-86,-86,-86,-86,-86,-86,83,84,199,85,83,84,199,85,91,157
contig_93	32373	53	N	N	1	none	*	93,752,52,94,94
contig_104	622123	45	N	N	1	none	*	748,104,105,-77,95,-77,105,-77,95,105,-77,95,-77,105,-77,95,105,-77,95,60,105,-77,95,-77,105,-77,95,-77,105,-77,95,-77,60,105,-77,95,-77,60,105,-77,95,-77,60,105,-77,95,-77,105,-77,95,-77,60,105,-77,95,105,-77,95,-77,105,-77,95,-77,60,105
contig_114	195277	45	N	N	1	none	*	114,-96,-136,-135,-98
contig_125	246663	48	N	N	1	none	*	608,813,-609,-607,125,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,127,128,127,128,127,128,-49,-49,127,128,129,127
contig_138	77746	42	N	N	1	none	*	138,814,638,-814
contig_148	49521	46	N	N	1	none	*	102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,83,84,199,85,148,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102
contig_156	2030494	46	N	N	1	none	*	82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,156,-49,-49,-49,-49,-49,-49,-49,-49,-49
contig_164	46589	39	N	N	1	none	*	-121,-120,-119,-121,-120,-119,-52,-56,-55,-54,-53,-52,-52,-752,-121,-120,-752,164,752,-49,-49,-49,-49,-49,-49,-49,-49,52,52,53,54,55,56,-49,-49
contig_173	210349	49	N	N	1	none	*	721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,721,173,-64,-64,-63,-62
contig_181	413832	45	N	N	1	none	*	-324,181,-64,-63,-749,-64,-63,-749,-64,-63,-749,-64,-63,-749,-64,-63,-749,-64,-63,-749,-64,-63,-749,-64,-63,-749,-64,-63,-749
contig_183	48473	44	N	N	1	none	*	183,-204,203,351,-204,203,351,-204,203,351,-204,203,351,-204,203,351,-204,203,351
contig_185	309354	45	N	N	1	none	*	-68,-186,-751,-71,189,-187,-70,-69,-68,185
contig_188	12741	41	N	N	1	none	*	188,-190,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
contig_192	15587	34	N	N	1	none	*	192,-191
contig_195	901446	47	N	N	1	none	*	-170,194,195,762
contig_196	593935	45	N	N	1	right	*	695,-694,695,-694,695,-694,695,-694,196,766,766,766
contig_197	520285	45	N	N	1	none	*	73,49,74,75,197,-787
contig_198	1213264	46	N	N	1	none	*	198,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289
contig_200	795001	45	N	N	1	none	*	-342,344,-342,344,-342,344,-342,344,-342,344,-342,344,-342,344,-342,344,-342,344,-342,200,682
contig_201	41877	45	N	N	1	none	*	-750,201,342,-344,342,-344,342,-344,342,-344,342,-344,342,-344
contig_202	201208	44	N	N	1	none	*	-65,-750,88,-65,-750,202,345
contig_207	120069	47	N	N	1	none	*	-205,206,-360,360,-206,207,-661,662,-661,662
contig_210	1812958	46	N	N	1	none	*	483,-484,483,-484,210
contig_211	216152	48	N	N	1	none	*	101,63,64,64,64,64,78,79,64,64,-100,64,211
contig_212	19115	57	N	N	1	none	*	-112,212,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
contig_213	1240543	45	N	N	1	none	*	690,690,213
contig_214	42290	45	N	N	1	none	*	356,214,777,598
contig_215	255812	48	N	N	1	none	*	340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,215,-785,457,-532,-455,-454
contig_216	529545	45	N	N	1	none	*	216,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289
contig_217	385219	45	N	N	1	none	*	64,167,217
contig_218	434302	46	N	N	1	none	*	788,-787,218,-469,-468,-467,-469,-468,-467,-469,-468,-467,-469,-468,-467,-469,-468
contig_219	801002	44	N	N	1	right	*	124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,219,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295
contig_220	1318936	46	N	N	1	none	*	279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279,220,-483
contig_221	585766	46	N	N	1	none	*	221,-612
contig_222	234787	47	N	N	1	none	*	-358,-208,-154,209,-358,-208,222,488,490
contig_223	579365	46	N	N	1	none	*	-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,-289,223,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,510,-509,-509,-509,-509,-509,-509,-509
contig_224	1498559	46	N	N	1	none	*	-122,-122,-122,-122,-122,-122,-122,-122,-122,-122,-122,-122,-122,-122,-122,-122,-122,224
contig_225	355549	43	N	N	1	none	*	800,225,-15
contig_227	86462	46	N	N	1	none	*	-535,227,537,-228,-85,-199,226,537,-228
contig_229	109647	44	N	N	1	none	*	535,229,-536,-535
contig_231	227623	47	N	N	1	right	*	231,-563,-563
contig_232	625141	45	N	N	1	right	*	232
contig_233	909860	45	N	N	1	none	*	-98,98,233,817
contig_234	306342	47	N	N	1	left	*	234,567,568,-567
contig_235	1105510	48	N	N	1	none	*	-757,64,235,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
contig_236	250440	44	N	N	1	none	*	77,236,750,65,65,750,65,65,750,65,-123
contig_237	386200	46	N	N	1	none	*	73,49,74,237,614,-615
contig_238	110924	48	N	N	1	none	*	238,-621
contig_239	2297703	47	N	N	1	none	*	-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,-393,239,625,-626,625,-626,625,-626
contig_240	1782296	46	N	N	1	right	*	240,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420
contig_241	639508	46	N	N	1	none	*	98,135,136,64,96,98,241,635,-636,635,-636
contig_242	605675	49	N	N	1	none	*	242,-785,457,-532,-455,-454
contig_243	10529	48	N	N	1	none	*	-230,243,-245
contig_244	57239	48	N	N	1	none	*	798,-641,-640,244,-245,230,-800
contig_247	780676	46	N	N	1	none	*	-154,-65,-750,209,-358,-208,247
contig_248	280531	45	N	N	1	none	*	62,-147,-146,248,646,-647,646,-647,646
contig_249	750794	45	N	N	1	none	*	62,63,64,64,249
contig_250	1137177	46	N	N	1	left	*	250,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560
contig_251	394357	46	N	N	1	none	*	251
contig_252	946621	47	N	N	1	none	*	83,84,199,85,252
contig_255	592353	46	N	N	1	none	*	-172,83,84,199,85,255,-253,-64,254,-253,-64,-64,106,254,-253
contig_256	1449166	46	N	N	1	none	*	83,84,199,85,256
contig_257	482317	46	N	N	1	none	*	257,408,-28
contig_258	119267	51	N	N	1	none	*	83,84,199,85,77,258,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703
contig_259	613228	48	N	N	1	none	*	63,64,64,259,824
contig_260	856379	45	N	N	1	none	*	726,727,726,727,260,728,-729,728,-729,728
contig_276	198951	47	N	N	1	none	*	759,276
contig_277	1198859	46	N	N	1	none	*	-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-274,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-274,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-274,-262,-262,-262,-262,-274,-262,-262,-262,-262,-274,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-274,-262,-262,-262,-262,-262,-262,-262,-274,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-274,-262,-262,-274,-262,-262,-274,-262,-262,-262,-262,-262,-262,-274,-262,-262,-262,-262,-262,-262,-274,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-262,-274,-262,-262,-262,-274,277
contig_278	736290	46	N	N	1	none	*	278,682
contig_283	498309	45	N	N	1	none	*	-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,283
contig_286	639380	45	N	N	1	none	*	286,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445
contig_288	169456	6	N	N	1	left	*	288,-549
contig_294	938005	8	N	N	1	left	*	294,-573
contig_303	28876	44	N	N	1	none	*	296,296,296,296,296,296,296,296,296,296,296,296,296,296,303,-296,-296,-296,-296,-296,-296,-296,-296,-296,-296,-296,-296,-296,-296,-296,-296,-296,-296,-296,-296,-296,-296,-300,-296,-296
contig_304	444966	43	N	N	1	right	*	-568,-567,304
contig_305	378183	47	N	N	1	none	*	305
contig_307	229377	48	N	N	1	left	*	306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,307,409
contig_308	737939	46	N	N	1	none	*	-170,194,308,345
contig_309	646758	45	N	N	1	left	*	309
contig_310	469586	46	N	N	1	none	*	762,310,-437
contig_315	1251948	45	N	N	1	right	*	-737,315
